age,income,credit_score,loan_amount,employment_type,marital_status,education,default
40,26305,414,36566,Self-Employed,Married,PhD,1
18,118262,367,430737,Salaried,Married,Bachelor,1
68,38782,744,246300,Salaried,Married,Master,0
57,98257,744,28798,Self-Employed,Married,Bachelor,0
32,125299,625,411781,Salaried,Married,Master,0
38,97963,658,28027,Salaried,Single,Bachelor,0
64,132086,444,495847,Unemployed,Divorced,High School,1
26,141987,574,272775,Salaried,Single,Master,0
26,40566,808,225937,Salaried,Single,High School,0
27,144591,478,244628,Salaried,Married,Bachelor,0
69,87766,776,61878,Self-Employed,Married,Bachelor,0
43,26511,713,50206,Salaried,Married,High School,0
58,134816,452,108473,Salaried,Divorced,High School,0
52,127765,403,456798,Unemployed,Divorced,Master,1
69,138360,374,63334,Self-Employed,Married,Bachelor,1
42,46177,427,339467,Self-Employed,Single,Bachelor,1
43,24765,644,58619,Salaried,Divorced,Bachelor,0
28,40354,830,108536,Salaried,Married,Bachelor,0
55,43929,458,425091,Salaried,Single,Master,1
19,48820,837,160586,Salaried,Married,Master,0
24,131576,725,158652,Salaried,Married,High School,0
35,49523,322,264201,Salaried,Single,Master,1
44,91088,346,221899,Salaried,Married,Bachelor,1
51,86163,824,402504,Self-Employed,Divorced,Bachelor,0
44,97525,443,11734,Self-Employed,Single,Bachelor,0
34,33780,718,219072,Salaried,Married,Bachelor,0
60,26589,384,306152,Salaried,Married,High School,1
61,54812,715,316493,Salaried,Married,Bachelor,0
68,113664,781,143886,Salaried,Single,High School,0
41,65939,755,441370,Salaried,Married,High School,0
42,71493,596,143923,Salaried,Married,PhD,0
24,124188,411,391622,Self-Employed,Divorced,Bachelor,1
69,113326,529,137672,Self-Employed,Divorced,Bachelor,1
23,60953,395,61614,Self-Employed,Divorced,Bachelor,1
41,85785,677,208474,Self-Employed,Single,Master,0
50,39309,455,270836,Self-Employed,Single,Bachelor,1
66,74195,720,131745,Self-Employed,Married,Bachelor,0
46,135662,404,194099,Salaried,Married,Master,0
60,45901,629,253843,Salaried,Divorced,Master,0
39,43576,738,287517,Self-Employed,Married,Master,0
43,51508,431,234708,Salaried,Married,Bachelor,1
45,94711,681,461021,Self-Employed,Single,Master,0
67,45464,437,379557,Unemployed,Divorced,Master,1
38,80281,569,478599,Self-Employed,Single,PhD,1
66,36260,849,19507,Salaried,Single,PhD,0
24,144997,695,330075,Salaried,Divorced,Bachelor,0
34,55440,763,80499,Self-Employed,Married,Master,0
37,115082,749,207714,Unemployed,Single,Bachelor,0
58,125583,630,208941,Salaried,Married,Bachelor,0
66,76683,552,381506,Self-Employed,Single,High School,1
37,144206,584,364593,Self-Employed,Married,High School,0
39,61430,573,363963,Salaried,Single,High School,1
45,21987,319,306567,Self-Employed,Divorced,PhD,1
57,134778,538,108612,Salaried,Married,High School,0
66,45105,569,493567,Salaried,Married,High School,1
24,98484,717,91120,Salaried,Single,Bachelor,0
18,138747,609,384553,Self-Employed,Single,Bachelor,1
49,33026,330,358062,Self-Employed,Married,PhD,1
30,88309,403,71600,Salaried,Married,Master,1
47,65927,485,46848,Self-Employed,Single,Bachelor,0
40,95414,427,11820,Self-Employed,Married,PhD,0
68,77535,509,275656,Self-Employed,Divorced,High School,1
36,62946,713,172797,Salaried,Married,PhD,0
49,146503,580,318678,Salaried,Single,High School,0
47,76561,552,221223,Salaried,Married,Master,0
46,30377,318,392335,Self-Employed,Married,High School,1
66,73592,435,175848,Salaried,Single,PhD,1
62,27347,522,65945,Unemployed,Married,High School,1
46,53776,302,250420,Self-Employed,Married,High School,1
47,23783,535,350564,Self-Employed,Divorced,Master,1
33,75798,764,183527,Self-Employed,Married,High School,0
57,24298,527,350632,Salaried,Single,Master,1
36,90204,798,188505,Self-Employed,Married,Master,0
35,106207,820,276855,Salaried,Single,Bachelor,0
18,120356,438,195334,Self-Employed,Single,Bachelor,1
31,75161,575,91009,Self-Employed,Married,PhD,0
68,80652,590,219857,Self-Employed,Divorced,Master,1
64,54484,352,14597,Self-Employed,Divorced,Bachelor,1
67,118614,409,65067,Salaried,Single,Bachelor,1
19,149572,303,223592,Salaried,Married,Bachelor,0
45,132695,346,53022,Self-Employed,Single,Bachelor,0
66,40922,393,217996,Salaried,Single,Bachelor,1
67,54028,512,379817,Salaried,Divorced,Master,1
47,131461,735,416998,Salaried,Divorced,Master,0
55,40316,807,56782,Salaried,Single,Master,0
68,96996,504,470360,Salaried,Single,Bachelor,1
21,36968,680,496867,Self-Employed,Single,Bachelor,1
18,50266,372,191085,Self-Employed,Married,Master,1
25,145679,815,377860,Salaried,Divorced,Master,0
46,115745,375,385174,Unemployed,Single,Master,1
56,44000,376,339180,Salaried,Married,High School,1
20,143239,709,302486,Salaried,Single,Bachelor,0
49,34011,405,90745,Self-Employed,Single,Bachelor,1
27,22866,775,419193,Self-Employed,Married,High School,0
27,132669,574,239648,Salaried,Divorced,Master,0
36,25898,387,324540,Unemployed,Single,Bachelor,1
63,38395,376,119836,Unemployed,Single,PhD,1
51,59019,376,111998,Salaried,Single,Bachelor,1
50,123243,741,55021,Salaried,Married,Bachelor,0
40,24006,839,467273,Self-Employed,Single,Master,0
45,54393,544,135672,Salaried,Married,Bachelor,0
49,30956,681,385703,Salaried,Married,Master,0
67,70042,441,333980,Self-Employed,Single,Master,1
24,116199,667,425291,Salaried,Married,PhD,0
46,26078,383,225587,Salaried,Single,Bachelor,1
25,49631,442,429018,Salaried,Married,High School,1
18,115676,651,213833,Self-Employed,Married,Bachelor,0
20,141724,844,82017,Salaried,Divorced,Master,0
41,82901,451,484969,Salaried,Single,Bachelor,1
40,127227,457,246421,Salaried,Married,Bachelor,0
25,89497,745,191894,Salaried,Single,High School,0
64,114813,602,449819,Unemployed,Divorced,Bachelor,1
54,137192,749,369833,Unemployed,Married,Master,0
20,61574,523,85291,Salaried,Married,High School,1
68,138494,342,357594,Self-Employed,Married,Bachelor,0
50,51417,563,171664,Self-Employed,Divorced,High School,1
45,108020,302,61006,Self-Employed,Divorced,Master,1
64,103639,567,424485,Salaried,Divorced,Master,1
25,85006,315,109268,Salaried,Divorced,Bachelor,0
51,114881,633,317282,Self-Employed,Divorced,High School,0
52,131862,763,67398,Salaried,Married,Bachelor,0
49,59454,358,226163,Salaried,Single,Bachelor,1
41,21587,476,155946,Self-Employed,Single,Bachelor,1
31,141688,362,324372,Unemployed,Married,Bachelor,1
49,128107,606,329814,Salaried,Married,PhD,0
63,135584,545,130613,Self-Employed,Married,PhD,1
60,74710,588,107071,Salaried,Single,High School,0
33,143157,631,115572,Self-Employed,Married,High School,0
21,106567,826,252766,Salaried,Single,Bachelor,0
69,111748,554,143997,Salaried,Married,Bachelor,1
54,95886,809,270251,Salaried,Married,Bachelor,0
38,38816,762,91388,Salaried,Single,Master,0
31,105824,498,100719,Salaried,Divorced,High School,0
48,49432,570,123018,Salaried,Married,Master,1
65,129758,363,294761,Self-Employed,Divorced,Master,1
35,68617,529,79258,Salaried,Single,PhD,0
24,92373,548,317219,Self-Employed,Single,Master,1
27,54217,545,131998,Salaried,Single,Master,0
24,40884,456,289775,Self-Employed,Single,High School,1
50,25454,387,128120,Salaried,Single,Master,1
40,94960,612,198516,Salaried,Single,High School,0
38,122421,365,364302,Salaried,Divorced,Master,0
36,127173,319,406099,Salaried,Divorced,High School,1
65,63618,332,417924,Self-Employed,Divorced,High School,1
36,103948,372,51221,Self-Employed,Divorced,High School,1
53,82671,642,153269,Salaried,Married,High School,0
46,67111,432,419350,Salaried,Married,Bachelor,1
35,59613,354,373066,Salaried,Single,PhD,1
19,105678,360,38550,Salaried,Single,Bachelor,1
18,140592,819,281786,Self-Employed,Married,Master,0
64,122928,571,418655,Salaried,Divorced,High School,1
22,144917,545,495995,Salaried,Married,Bachelor,1
37,79993,475,111093,Salaried,Divorced,High School,1
28,148652,616,422799,Salaried,Single,High School,0
59,28848,430,266188,Salaried,Married,High School,1
19,134853,401,98885,Salaried,Married,Bachelor,0
20,98672,609,84538,Salaried,Divorced,High School,0
40,139279,591,329158,Salaried,Divorced,PhD,0
29,86125,794,286667,Salaried,Married,Bachelor,0
37,106444,660,377429,Self-Employed,Single,Master,1
22,137509,637,206615,Salaried,Single,PhD,0
54,81602,309,484187,Salaried,Married,Master,1
55,92045,348,110879,Salaried,Divorced,PhD,1
47,125997,786,95629,Salaried,Single,High School,0
26,62222,620,343974,Salaried,Single,Master,1
51,69223,432,312682,Self-Employed,Married,Bachelor,1
61,130012,382,314454,Self-Employed,Divorced,Bachelor,1
52,131246,356,409124,Salaried,Married,Master,1
69,85333,675,120266,Self-Employed,Married,PhD,0
39,72732,648,193362,Salaried,Married,PhD,0
61,142650,570,451850,Salaried,Single,High School,1
41,69420,782,279843,Unemployed,Single,Bachelor,1
34,95504,410,236241,Self-Employed,Divorced,Master,1
27,22462,375,256249,Unemployed,Divorced,Master,1
47,29460,457,71912,Salaried,Married,High School,0
63,119319,831,150327,Salaried,Married,Bachelor,0
40,145602,628,84183,Salaried,Divorced,Master,0
49,29275,421,65282,Self-Employed,Married,Master,0
34,114213,340,63249,Salaried,Single,Bachelor,1
67,33269,466,43176,Self-Employed,Married,Master,1
68,149593,322,13163,Salaried,Married,Bachelor,0
34,142672,578,321354,Salaried,Married,PhD,1
31,85942,768,128844,Self-Employed,Divorced,Bachelor,0
26,92920,699,371731,Self-Employed,Divorced,Bachelor,0
57,140737,308,236352,Salaried,Single,Master,0
19,42553,312,339123,Unemployed,Married,High School,1
62,44366,351,83860,Salaried,Married,PhD,1
42,64036,508,157215,Salaried,Married,Master,0
56,37369,849,272064,Self-Employed,Married,PhD,0
26,31795,701,87911,Unemployed,Married,Bachelor,1
39,90021,490,305140,Self-Employed,Divorced,Master,1
60,127205,350,409964,Self-Employed,Married,Master,1
63,88154,692,361215,Self-Employed,Divorced,Master,0
21,50143,599,479467,Unemployed,Single,Bachelor,1
43,49425,495,52252,Salaried,Married,Bachelor,0
46,108209,716,389878,Self-Employed,Married,Bachelor,0
62,95139,719,461395,Self-Employed,Divorced,Bachelor,1
51,125232,821,404666,Salaried,Married,Master,0
40,25368,655,57756,Salaried,Single,Bachelor,0
54,24621,447,317379,Salaried,Married,Master,1
28,78829,664,357690,Self-Employed,Married,Bachelor,0
23,149036,663,398236,Salaried,Divorced,High School,0
35,80294,701,392946,Self-Employed,Married,High School,0
38,34719,791,216325,Salaried,Divorced,Master,0
59,49227,528,375565,Salaried,Married,Bachelor,1
53,129430,836,407880,Self-Employed,Single,Bachelor,0
58,27566,567,333779,Salaried,Married,Master,1
55,32306,704,290369,Salaried,Married,Bachelor,0
51,73822,310,204245,Salaried,Divorced,PhD,0
34,44042,619,374029,Self-Employed,Single,PhD,1
54,35086,425,90333,Unemployed,Single,High School,1
42,37387,605,176297,Unemployed,Single,Master,1
55,47042,810,277951,Self-Employed,Married,Master,0
29,109424,388,481490,Salaried,Single,Bachelor,1
40,71618,654,11402,Salaried,Married,Bachelor,0
59,112050,651,9521,Salaried,Divorced,Master,0
39,38323,313,199237,Salaried,Married,PhD,1
38,38019,556,255885,Salaried,Married,Bachelor,1
44,95426,508,381837,Salaried,Divorced,High School,1
48,60863,580,13382,Self-Employed,Married,Master,0
23,140953,742,378140,Salaried,Single,High School,0
44,131023,688,20065,Self-Employed,Married,Master,0
57,30283,782,352614,Unemployed,Married,Master,1
51,38279,446,19425,Self-Employed,Single,Bachelor,1
29,66999,578,280255,Self-Employed,Married,High School,1
62,82780,820,176871,Self-Employed,Divorced,Master,0
24,42908,733,58257,Salaried,Married,Bachelor,0
27,81584,443,391134,Salaried,Married,Bachelor,1
62,146278,588,197249,Salaried,Married,Master,1
34,133002,685,394957,Salaried,Divorced,PhD,0
43,70225,313,348190,Self-Employed,Divorced,Master,1
38,57952,556,304995,Unemployed,Married,Bachelor,1
45,120706,645,13816,Unemployed,Married,Master,1
63,57663,644,476069,Salaried,Married,High School,1
19,142019,699,7175,Unemployed,Married,Master,1
60,129708,506,278485,Salaried,Single,Master,1
18,81381,471,331052,Self-Employed,Married,PhD,1
68,67929,763,161726,Salaried,Married,PhD,0
53,29343,569,459111,Salaried,Single,Bachelor,1
68,96173,520,64696,Salaried,Single,PhD,0
43,120260,451,193961,Self-Employed,Single,PhD,1
46,59791,482,223216,Salaried,Married,Master,0
38,49134,698,350259,Salaried,Married,Bachelor,0
28,132366,371,297338,Unemployed,Single,Master,1
57,67101,717,433053,Unemployed,Divorced,Bachelor,1
28,89443,582,467110,Salaried,Married,Master,1
53,119111,373,89358,Self-Employed,Single,High School,1
66,77530,654,177648,Salaried,Single,Master,0
56,66799,796,369692,Salaried,Married,PhD,0
57,24827,627,155799,Salaried,Single,Bachelor,1
52,116143,834,39579,Salaried,Single,Master,0
51,82653,746,101554,Salaried,Married,Bachelor,0
64,33699,672,152627,Salaried,Married,Master,0
41,122828,661,320438,Salaried,Married,Master,0
39,133497,392,54777,Self-Employed,Married,High School,0
22,111419,620,404122,Self-Employed,Divorced,Bachelor,1
50,134527,623,45751,Salaried,Single,Master,0
53,136972,683,205671,Salaried,Single,Bachelor,0
64,25313,645,113750,Self-Employed,Divorced,Master,1
37,33598,402,79180,Self-Employed,Married,Master,0
36,131362,514,243986,Self-Employed,Married,Bachelor,0
52,135445,491,209750,Salaried,Single,PhD,0
69,48807,493,298788,Salaried,Single,Bachelor,1
60,90423,679,38521,Self-Employed,Single,Bachelor,0
34,89390,702,16564,Salaried,Married,High School,0
62,65226,310,110155,Unemployed,Single,Bachelor,1
60,79550,486,468856,Self-Employed,Married,Master,1
51,100072,314,425515,Salaried,Married,Master,1
26,23558,596,446174,Salaried,Single,Master,0
43,95308,710,192150,Self-Employed,Single,Master,0
19,70113,351,411637,Salaried,Married,Bachelor,1
26,72999,327,355891,Salaried,Single,Bachelor,1
26,75878,316,278346,Self-Employed,Single,PhD,1
57,56343,650,376551,Self-Employed,Single,PhD,0
34,78219,727,440401,Salaried,Married,Bachelor,0
18,55186,528,139757,Salaried,Married,Master,1
42,56966,509,95197,Unemployed,Single,Bachelor,1
60,53769,730,47637,Unemployed,Married,High School,0
57,139932,593,154438,Self-Employed,Divorced,Master,0
59,146264,403,29276,Unemployed,Married,Bachelor,1
42,125423,503,348090,Salaried,Single,High School,0
56,73218,352,446455,Salaried,Married,Master,1
52,39229,674,342358,Salaried,Married,PhD,1
20,95209,353,160647,Salaried,Divorced,PhD,1
67,47877,575,439617,Salaried,Divorced,Bachelor,1
54,78001,634,308374,Salaried,Married,Bachelor,0
61,117137,330,215496,Self-Employed,Married,High School,1
61,58084,434,480479,Self-Employed,Divorced,Master,1
68,101780,357,391230,Self-Employed,Divorced,PhD,1
47,112892,404,134526,Salaried,Married,Master,0
55,36806,565,466833,Salaried,Single,Master,1
51,108635,821,159093,Salaried,Single,High School,0
29,130177,795,407665,Self-Employed,Married,Bachelor,0
36,57034,552,413873,Salaried,Married,Bachelor,1
54,60317,594,302203,Salaried,Divorced,Master,1
61,75468,457,6532,Salaried,Divorced,High School,1
66,39094,848,107666,Self-Employed,Single,Bachelor,0
34,77796,366,186877,Self-Employed,Married,High School,1
27,30589,598,86551,Self-Employed,Single,Master,0
66,77221,762,173828,Salaried,Married,Master,0
64,144855,400,76880,Salaried,Married,Master,0
29,21657,355,111734,Salaried,Single,Master,1
33,118300,631,381141,Salaried,Single,Master,0
41,137229,692,210714,Salaried,Single,High School,0
36,59531,680,432422,Salaried,Single,Bachelor,0
25,72227,391,319312,Salaried,Divorced,PhD,1
48,23164,746,118123,Salaried,Single,Bachelor,0
38,113078,408,211260,Salaried,Single,High School,0
34,103973,616,422766,Self-Employed,Single,Bachelor,0
40,61247,467,404605,Unemployed,Divorced,Bachelor,1
54,124041,734,92897,Self-Employed,Married,Bachelor,0
33,39601,741,171919,Salaried,Single,Bachelor,0
23,113966,517,109599,Salaried,Married,PhD,0
25,70599,521,346383,Self-Employed,Married,Master,1
42,91545,827,285786,Salaried,Married,High School,0
35,135295,577,374006,Self-Employed,Married,Master,0
42,24552,765,253751,Salaried,Single,Master,0
29,136452,329,41509,Unemployed,Divorced,Master,1
32,29417,658,346561,Self-Employed,Married,Bachelor,1
43,78579,587,316381,Self-Employed,Married,Bachelor,0
58,127525,385,151486,Self-Employed,Single,Master,0
62,88207,533,330320,Salaried,Divorced,Master,1
43,92055,612,133633,Salaried,Married,Bachelor,0
64,122266,664,347009,Salaried,Single,High School,0
49,98270,568,122181,Salaried,Single,Master,0
27,131426,430,67059,Salaried,Married,High School,0
33,137865,650,316294,Salaried,Married,High School,0
24,23722,479,355511,Self-Employed,Divorced,Bachelor,1
34,90442,779,46091,Salaried,Married,Bachelor,0
40,115632,462,209196,Salaried,Married,Bachelor,0
43,60031,395,5903,Salaried,Single,Bachelor,0
38,99235,809,246024,Salaried,Married,High School,0
39,41438,664,321379,Salaried,Divorced,High School,1
24,78819,652,194637,Unemployed,Married,High School,1
31,63856,735,322486,Salaried,Single,Bachelor,0
32,53576,382,178795,Salaried,Single,Bachelor,1
24,61938,524,40572,Salaried,Single,Bachelor,0
26,69028,711,284754,Salaried,Married,Bachelor,0
68,79807,417,301196,Self-Employed,Divorced,Bachelor,1
65,69877,781,103993,Salaried,Single,Bachelor,0
25,117783,491,354207,Salaried,Married,Master,1
67,63461,406,435766,Salaried,Married,Bachelor,1
40,113474,681,452249,Unemployed,Divorced,Master,1
46,60469,689,427227,Salaried,Married,Bachelor,1
35,103136,543,432980,Self-Employed,Single,PhD,1
48,40435,767,102540,Salaried,Single,Bachelor,0
47,104117,837,58533,Salaried,Married,Master,0
69,34191,509,160136,Self-Employed,Divorced,Bachelor,1
56,104726,372,391133,Salaried,Single,PhD,1
52,143658,608,263897,Salaried,Married,Bachelor,0
35,135660,485,185653,Salaried,Married,Master,0
59,47386,552,125388,Salaried,Married,Bachelor,1
56,51721,312,295846,Self-Employed,Single,Master,1
34,74786,598,483917,Salaried,Divorced,Master,1
31,33704,375,128482,Self-Employed,Married,PhD,1
48,76635,350,275775,Salaried,Married,Master,1
41,22123,448,259936,Salaried,Married,Bachelor,1
52,110710,421,92388,Self-Employed,Divorced,Bachelor,1
61,129837,510,129798,Salaried,Married,Bachelor,1
62,134912,579,75043,Salaried,Married,High School,1
51,82993,837,464279,Salaried,Married,High School,0
20,132752,455,165053,Salaried,Married,Bachelor,0
54,100122,537,302908,Self-Employed,Single,Master,1
60,117512,675,237843,Salaried,Divorced,High School,0
57,45416,381,264859,Salaried,Divorced,Bachelor,1
43,21814,791,448729,Self-Employed,Married,Bachelor,0
40,98537,655,134014,Salaried,Married,Master,0
61,70258,572,118076,Salaried,Single,High School,1
56,36508,343,104007,Salaried,Divorced,Bachelor,0
32,105166,422,202270,Self-Employed,Married,PhD,0
66,98916,648,292084,Unemployed,Married,Bachelor,1
21,133710,629,374562,Self-Employed,Divorced,Master,0
46,55699,708,76792,Salaried,Married,Master,0
39,66335,622,426648,Self-Employed,Divorced,High School,1
42,66806,410,13367,Salaried,Married,PhD,0
30,97853,388,378908,Salaried,Married,Master,1
35,83768,732,239673,Unemployed,Married,High School,0
50,55739,398,423727,Salaried,Married,Bachelor,1
33,54785,838,275717,Salaried,Divorced,Master,0
62,51980,445,20582,Self-Employed,Married,Master,0
59,109335,556,141450,Self-Employed,Married,High School,1
61,120719,488,332440,Salaried,Single,Master,1
19,114702,539,149572,Salaried,Single,Bachelor,1
52,105016,802,332985,Salaried,Married,Master,0
59,21609,570,26881,Salaried,Married,Master,0
51,86253,819,337377,Salaried,Divorced,Bachelor,0
47,105481,849,187614,Salaried,Married,Master,0
30,111128,413,70285,Unemployed,Married,Master,1
30,48141,638,64547,Salaried,Married,Bachelor,0
35,50009,658,198223,Salaried,Married,Master,0
49,147581,633,143294,Salaried,Divorced,High School,0
49,130966,468,12933,Salaried,Married,Master,0
52,26782,638,350529,Salaried,Single,Master,0
56,112072,560,487988,Unemployed,Married,Bachelor,1
63,119352,498,245839,Self-Employed,Single,Master,1
69,45933,510,103706,Salaried,Married,Bachelor,1
46,97154,586,476653,Self-Employed,Single,PhD,1
66,28307,771,405156,Salaried,Married,High School,0
46,112207,781,351734,Self-Employed,Single,High School,0
61,126209,322,373543,Salaried,Single,Master,1
33,128297,408,326289,Self-Employed,Married,Master,1
61,95874,595,179682,Salaried,Single,Bachelor,1
64,58346,305,324664,Salaried,Single,PhD,1
27,132138,849,9544,Self-Employed,Married,Master,0
47,70772,502,489070,Salaried,Single,PhD,1
42,92084,624,321956,Salaried,Single,Bachelor,0
56,60149,543,207682,Salaried,Single,Bachelor,1
37,106700,626,187572,Self-Employed,Divorced,Bachelor,0
22,47526,346,437834,Salaried,Married,PhD,1
18,116758,312,386234,Salaried,Married,Bachelor,1
47,105712,679,366198,Unemployed,Divorced,PhD,1
66,148447,664,423660,Salaried,Single,Master,0
20,88477,641,222054,Salaried,Married,Bachelor,0
62,25695,520,492295,Self-Employed,Divorced,Bachelor,1
31,59169,372,454802,Self-Employed,Married,Master,1
47,67947,345,423005,Unemployed,Divorced,Master,1
67,67224,803,399833,Salaried,Divorced,High School,1
21,65865,573,264711,Salaried,Single,PhD,1
35,45553,507,105834,Self-Employed,Divorced,Bachelor,1
54,124501,423,139405,Self-Employed,Divorced,PhD,1
42,80410,309,45002,Self-Employed,Married,Master,0
65,123754,628,260549,Salaried,Divorced,Bachelor,0
18,110895,486,461836,Salaried,Single,Bachelor,1
63,44816,842,223760,Salaried,Married,Master,0
32,75026,359,487843,Unemployed,Single,Bachelor,1
26,70705,741,398727,Salaried,Single,PhD,0
32,81922,516,379994,Salaried,Married,Bachelor,1
66,135700,301,135011,Salaried,Married,PhD,1
41,93914,835,173922,Salaried,Married,Master,0
21,21881,655,126548,Salaried,Married,Master,1
29,59567,464,480388,Self-Employed,Married,Bachelor,1
54,67365,390,484269,Salaried,Single,Bachelor,1
54,147928,466,36786,Salaried,Married,Master,0
60,99211,506,472572,Salaried,Divorced,Bachelor,1
23,90122,581,303388,Self-Employed,Married,Master,1
56,45006,364,210786,Unemployed,Married,Master,1
63,61198,815,72261,Self-Employed,Married,Bachelor,0
41,42831,456,285621,Self-Employed,Married,Bachelor,1
28,120649,605,182605,Salaried,Married,High School,0
30,36459,694,432685,Self-Employed,Divorced,Bachelor,0
51,52443,373,275640,Unemployed,Married,PhD,1
42,62316,486,125522,Salaried,Married,Master,0
24,116131,636,410486,Salaried,Married,High School,1
69,84486,539,212080,Unemployed,Married,Master,1
21,25877,832,287868,Self-Employed,Married,High School,0
25,59553,440,297560,Salaried,Married,Bachelor,0
37,134137,564,40575,Unemployed,Married,High School,1
46,24922,438,479406,Salaried,Married,PhD,1
68,142778,758,81614,Salaried,Married,PhD,0
62,137018,369,98566,Self-Employed,Divorced,Master,1
63,24686,684,257061,Salaried,Married,Bachelor,0
27,52766,497,209180,Self-Employed,Divorced,Bachelor,1
60,99943,504,415624,Salaried,Single,Master,0
51,52006,730,132192,Salaried,Single,Bachelor,0
43,51422,624,24359,Salaried,Married,Bachelor,0
58,136590,741,406914,Salaried,Married,Master,0
66,148886,587,206464,Salaried,Married,Bachelor,0
20,32205,525,229135,Unemployed,Single,High School,1
23,106590,363,437708,Salaried,Single,Bachelor,1
22,43527,797,472997,Salaried,Married,Master,0
22,131483,359,48634,Salaried,Single,PhD,1
64,38443,696,122255,Self-Employed,Married,High School,0
40,36524,556,47864,Salaried,Married,Bachelor,0
66,136477,538,361626,Salaried,Married,Bachelor,1
26,48202,337,42355,Salaried,Single,Bachelor,1
52,85552,324,42690,Salaried,Single,Master,1
37,66142,709,436030,Salaried,Married,High School,0
66,81692,760,167717,Self-Employed,Single,Bachelor,0
59,102384,716,220886,Unemployed,Married,Master,0
52,40855,656,208811,Salaried,Divorced,Bachelor,1
67,103747,682,61630,Self-Employed,Single,PhD,0
35,80372,457,184243,Unemployed,Single,Bachelor,1
34,45095,732,26658,Unemployed,Single,Bachelor,1
41,58724,347,244204,Unemployed,Divorced,Bachelor,1
20,69241,627,282941,Self-Employed,Single,Bachelor,1
49,123119,732,325943,Salaried,Divorced,PhD,0
52,72003,730,385445,Salaried,Married,Master,0
55,88379,355,234414,Salaried,Married,Bachelor,1
30,114837,567,494710,Self-Employed,Single,Master,1
64,111996,368,319380,Salaried,Married,PhD,0
42,117454,748,11265,Salaried,Married,High School,0
26,114283,556,130611,Salaried,Married,Bachelor,0
21,35972,789,208206,Self-Employed,Married,Bachelor,0
31,143805,348,498935,Self-Employed,Married,Master,1
54,113846,615,480894,Salaried,Married,High School,0
51,42927,712,451710,Salaried,Married,Bachelor,0
28,140589,733,388898,Self-Employed,Married,Bachelor,0
58,135657,301,450484,Salaried,Married,Master,0
20,86630,444,163070,Salaried,Single,Master,0
45,124428,665,96426,Salaried,Married,Bachelor,0
46,142035,719,492630,Unemployed,Married,Bachelor,0
26,72347,743,459555,Salaried,Single,PhD,0
20,119708,733,412522,Salaried,Married,Bachelor,0
42,146244,356,200078,Self-Employed,Single,Bachelor,0
51,108860,477,183417,Salaried,Single,Master,0
29,106210,592,147957,Salaried,Divorced,Master,0
59,89518,345,114681,Salaried,Married,Bachelor,0
26,65283,469,310970,Unemployed,Married,Bachelor,1
32,101326,570,60597,Salaried,Divorced,Master,0
57,32205,716,405659,Self-Employed,Single,Master,0
42,140243,438,102375,Unemployed,Divorced,Master,1
22,109874,546,252077,Self-Employed,Single,Master,1
28,32748,447,284228,Self-Employed,Married,Bachelor,1
51,41097,529,356591,Self-Employed,Married,Master,1
41,23092,673,9383,Unemployed,Divorced,High School,0
32,73311,379,97313,Unemployed,Married,Master,1
55,42692,364,301505,Unemployed,Married,Master,1
25,144954,387,85294,Self-Employed,Married,Bachelor,0
22,43862,387,66331,Salaried,Single,Master,1
65,110396,503,100057,Salaried,Married,High School,1
43,99507,681,156601,Salaried,Single,High School,0
35,100152,775,194646,Unemployed,Married,Bachelor,0
23,90469,838,224699,Self-Employed,Married,Master,0
54,24926,513,388829,Salaried,Divorced,Bachelor,1
65,111299,373,101917,Salaried,Married,Bachelor,1
30,23969,360,499132,Salaried,Married,Master,1
45,55733,842,298076,Salaried,Single,Bachelor,0
22,89855,518,269052,Self-Employed,Single,Master,1
30,61743,311,428574,Salaried,Married,Bachelor,1
34,59876,714,35412,Salaried,Married,Bachelor,0
67,127445,331,395463,Salaried,Married,Bachelor,1
57,40323,459,350854,Salaried,Married,PhD,1
62,36428,536,258928,Unemployed,Single,High School,1
49,54578,480,217104,Salaried,Married,High School,1
46,106486,640,7928,Unemployed,Single,Master,1
68,128577,757,332302,Salaried,Single,Master,0
20,84140,379,166704,Salaried,Single,High School,0
57,146378,772,37309,Self-Employed,Married,Master,0
51,127325,411,276424,Self-Employed,Married,Master,0
57,103829,591,45449,Salaried,Single,Bachelor,0
44,26364,682,485387,Salaried,Married,Bachelor,0
30,148867,316,294101,Salaried,Married,Bachelor,0
62,55349,792,172967,Self-Employed,Divorced,Bachelor,0
50,20691,630,337643,Salaried,Married,Master,0
23,146899,785,98057,Salaried,Single,High School,0
41,115598,705,234223,Self-Employed,Divorced,Bachelor,0
36,86467,416,377209,Salaried,Single,Bachelor,1
33,65896,414,157767,Salaried,Married,Bachelor,0
57,77062,848,79893,Salaried,Married,Bachelor,0
45,117266,846,461339,Unemployed,Single,Master,0
50,99762,635,292320,Salaried,Married,Bachelor,0
65,33861,635,154481,Unemployed,Single,Bachelor,1
58,116837,446,260536,Salaried,Divorced,High School,0
30,133779,421,324111,Self-Employed,Single,Master,1
60,108302,380,5987,Salaried,Married,Bachelor,0
62,121710,674,452678,Salaried,Married,Master,0
42,83928,362,203573,Self-Employed,Single,Bachelor,1
59,126643,803,241692,Self-Employed,Married,Master,0
53,135720,748,363998,Self-Employed,Divorced,PhD,0
44,103231,727,31015,Self-Employed,Married,High School,0
